Lemens J. van	Veuve Lemens
Poost	Post (unidentified)
Suicide Alan	Bermovwitz Boruch Alan
Voulk Douglass	Stephen Arnold Douglas Volk
S. Jones	S. (Dublin) Jones
Delalleau André	Andreev Ivan
unknown Birnick	anonymous Birnick
Pietro del Pietre	Pietro Antonio de Pietri scolare di Carlo Maratta
Monogrammist R.H.	R. H.
Schryver te Brugge	Deschryver
Johnson Stanley	Johanna Weil
Lauterer	Johann Franz Nepomuk Lauterer
Deveit	Deweth disciple de Rembrandt
Ld Ravensworth	Liddell Henry 1st Baron Ravensworth
Antonio Cassi Ramelli	Casamor de Espona Antoni
Abas Felipe	Abeilard Pierre
Elmereat	Emmelraet Philips Augustyn
Mazois F.	Mazois Charles François
Frignano Group	Dolphin Group
Van der Horst	Horst
Seres	Serres family
Holländer Jan	Verelt Jan Willekens van
Taravalle	Taraval Hughes
Zucerelli	Zuccarlli Franco
Hassam Chide	Hassam
Foster Evelyn	Evelyn Antal
Wennerwald Emil	Wennerwald Emil August Theodor
Yáñez de Santa Cruz Marta	Mata Duque Juan de la
Halima Nalecz	Krzywicz-Nowohonska Halima Maria
Saranyena Juan	Jan Soreau
L'Ammogliato Mariotto di Zanobi Folfi	Folfi Zanobi
Howland Hortense	Delaroche-Laperrière Louise-Marie Hortense
schluter	August Schlüter
Wüst Caspar	Wust
Howard Snoweiss Design Group	Groupe de Lagioia
Gessner Hubert	Dieter Ebert
Michele da Pavia	Michelino de' Molinari da Besozzo
Andrea Casalini	Pozzi Andrea
Antonio Tempesta Fiorentino	Tempesta
Eolli	Joli Antonio
Sebron	Sebron Hippolyte Victor
Camu Carl	conzalvo carelli
Taillasson	J. Jos. Taillasson
unknown Tibetan	anonymous Tibetan
Lemos Carlos	Ceres Rubio Daniel Carlos
Edward Newell	Groder Edward Thomas
Van Ryhn	Ryhn Van (unidentified)
Markiewicz Kasimir Dunin	Markiewicz
J. -C. Chardon	Chardon Jean-Claude
Planet Marie Francois Xavier Louis De	Planet Louis
Dyk Philip van	P. Van Dyke
Nanni Giovanni di Bartolo il Rosso	Rosso Il
Azoldt Johann	Bartolo Giovanni
Greef Jean de	Greef Jan de (1784-1834)
Mindspace Architects	Mindspace
Zugel Wilhelm	Zugel
YouthBuild	Youth Build
Berthold Segal	Baechler Donald
OConnor	O'Connor (Dublin)
Mathias Goeritz	marian Hendrie
augustin	Augustin J-B.-J.
Sacriste Eduardo	Jonas Edouard Mrs.
Marcelo Moscheta	Michael Scholz
J. Jundt	Jundt Gustave-Adolphe
girier	Cyr Jean Aimee Girier
Master Of Alkmaar	Master of the Seven Works of Mercy
Maykel	Maijkel David
Marvin Rhodes	Thomas Germain
William Elford	Elford Baronet
Barkan Mirit	Giorgio Garau
Rothe	Rothe Friederik W.
Wood Grant Devolson	Grant Wood
Esslingenn Hannss von	Hans Böblinger II
Effert Martin	Perrot Antoine Marie
Hogenbergh Franz	Hogenbergus Franciscus approximately 1539-1590
Anna Daun	Jane Anderson
Galka Scheyer	Scheyer Emilie Ester
Stephan Haweis c/o Mus. Modern Art	Stephen George Haweis
Merck Van Der (unidentified)	J.C. Fr. (unidentified)
Motezuma	Montezuma I Emperor of Mexico
Hooghe	Hooge Romeyn de
Felice Riccio	Felice Brusasorci
Lisitsky Lazar Markovich	Lisitsḳi Eliʻezer
Paillet Charles	Paliez
v Meulen Dordt	Vermeulen
Bayard Emile Antoine	E. Bayard
Samuel Vaucher	Vaucher Jean Marc S.
George Balthazar Gardner	Gardner G. B.
Karl Waage	Wang Sam
Luscombe Ketland	Luscombe
Couzijn Lies	Cosijn Alida
George Allen	Ottinger George Martin
Uranga Pablo	Díaz de Arcaya Pablo Uranga
Zehender	Zehnter Johann Caspar
Johann Caspar Zehender	Zehender
Copley John	John Berry
Etungate Abraham	Etungat
Charles Gavard	Gavard Jacques
Satish Sharma	Williams Sarah
Nebbia	Nebula Cesare
Ernst Zinsser	Menachem (Ernst) Buchbinder
Gutierrez Mauer Andrés	Gautier Albert Clément Valéry
Giovanni Marco	Pitteri Marco Alvise
Moorsel Marijke van	Asperslag Marijke
Nadorp F.	Nadorp Franz Johann Heinrich
Vitra GmbH	Vitra
Schrotter Bernhard Edler von	Fouchier Bernard
Pasquale	Genovese Pasquale
Alexandra Grigorovich	Hryhorovyc Oleksandra Oleksandrivna
Montenbrock (unidentified)	Montenbtock
VanDerBeek Stan	Beek Stan van der
Pirchan Emil der Jüngere	Emil Pirchan
Maggieri Cesare	Valencia César
Hautreu (unidentified)	Kautreu
Boardman Harriet	Bandera Maria Cristina
Reesbroeck Jacob Van	Reesbroeck
Lesquier	Lesquier Joseph
Portien ? (unidentified)	Portien
Gerard Manley Hopkins	Mlle Garnier
Plasent Gomez (unidentified)	Gomez Plasent
Langdon Alvin Coburn	Coburn A. L.
Jehan Duvivier	Hennequin du Vivier
Du Vivier Hennequin	Jehan Duvivier
Ramond Torres Spanish	Solà Ramon the younger
W. Scott & Sons	Sons
Krauss Helene Von	Krausz Baronin
Champney	Benjamin Champney
Taunay Nicolas-Antoine	Taunay
Currado	Cavalier Curradi
Scott Lady	Caroline Lucy Scott
Musée du Québec	Musée national des beaux-arts du Québec
Savelli Sperandio	Sperandio di Bartolommeo de' Savelli
Giuliana Cunéaz	Giuliano Tallarini
Westphalen (Hamburg)	Westphalen
Laurent Veuve	Clare Devine
professor jacobides	Iacobides Giorgios
Fabri Luigi b. ca. 1778	Fabri Aloisio approximately 1778-1835
Paget Henry Marriott	Paget H. M.
Erb Simon	Smits Simon Hendrikus Cornelis
Hon. Admiral Finch	Honorable William Clement Finch
maO studio d'architettura	MaO
Charlemagne-Baudet Joseph	Iosif Adolfovich Charlemagne
Ulrich Mack	Mack Ulrich Bernhard Gerhard Antonius
louis piot	Piot
Guyon Goepp	Maximilienne Guyon
Wade George	Field-Marshall Wade
Pomeroy James Calwell	Jim Pomeroy
unknown Colima	anonymous Colima
Guillén Josep Simont	Simont J.
Solomans Estella Frances	Solomons Starkey
Estella Frances Solomons	Solomons Starkey
Claus Wilfried	Camus Claude
Sirrani	Sirani (unidentified)
Gruppo a Maschere Umana	Face-Mug Group
James Wilson	Wilson Associates
Magistris Simone	Simone De Magistris Da Caldarola
Tantong Van (unidentified)	Tantong
Tangten	Tantong Van (unidentified)
Ewing Charles Kermit	Ewing Buck
Pittar	Pittar J.F. Barry
Strecker rue des Billettes	Streicker
Bray and Warren	Bray
Sjaak Korsten	Korsten Jacobus Wilhelmus Maria
Werkmeister Matthew (unidentified)	Moré Thomas (unidentified)
Henri VI empereur germanique	Henry VI King of the Germans
Ignashina E. V.	Ignashina Elena Vladimirovna
Baldornero Galofre	Bald. Galofré y Giménez
Charle Albert Joseph	Alers Theo
Goicouria Peter A.	Keller Arthur A.
Frédéric Sorrieu	Sorieut
P.H. Rogers	Philip Hutchings Rogers
Fraunhofer-Society	Fraunhofer-Gesellschaft zur Förderung der Angewandten Forschung
Philodemus of Gadara	Philodem
Langlois Vincent Marie	Langlois le jeune
Jünger F. G.	Jünger Friedrich Georg
Yarnell Associates	Martinelli Andrea
Bartolomeo Guidobono	Guidobono Il Prete Savonese
Carlos Seoane	Craig James Osborne
Leonard John Henry	John J. Emery
Friedmann Cornell	Carl Ferdinand Stelzner
Moreth J. (unidentified)	Morethet
Rozenberg	Rosenberg Friedrich
Charles-Louis Constant	Elants Cornelis
kane paul	Kane John
Manuel de Ron	Louis de Narbonne
Petrus Plancius	Plancio
Odato Christian	Richardson Christopher
Lauber Marcelo	Michel Brante
Malu Fatorelli	Karl Marx
Pizarro Maria Jose	Papi Domenico Maria
Johann Jakob Biedermann	Anonym. Vermutlich Biedermann
barthel bruyn D. A.	Bruin Bartold
Checcho di Michelangelo	Del Caravaggio Cecco
Todd	Todd Richard
Noni Lichtveld	Lichtveld Maria Johanna Francisca Renée (Noni)
T. C. Hine	Hine Thomas Chambers
Georges Edouard François	Georges E. F.
Marichal Carlos	Paillot Marc
Ermanno De Berardis	Medina Juan de
Adriaenssens Jan	Juan De Tejerina
Ernst Ferdinand Oehme	Oehme E. F.
Andrea Ricci	Andreas Igel
Gabriel Jaime Giraldo	Jaime Durán Castellanas
Ordway	Alfred Ordway
Belkyn Cornelis	Bellequin
Benedetto di Bartolomeo de' Grazini	Grazzini Benedetto
Ghirlandajo Ridolfo di Domenico	Ghirlandaio Bigordi
Christoph Sattler	Huët Christophe
François Deron	Raz Gideon
Arnold John	John Randall Bratby
Knight	Edward Knight
anonymous Gieli	unknown Gieli
Öffentliche Kunstsammlung Basel	Kunstmuseum
Hulse Edward Sir 3rd Bart.	Sr E Hulse
Woodbridge Jonathan Edwards	Rothfarb Edward Leland
Fischer Ellen	Charles Fisher
Sori	Pierre Sorri
Monsù Peti	Alexander Petit
Schiedges	Schiedges Petrus Paulus
Storck Jacobus	Storck
Altdorffer Erhard	EA Master
Gibson Peter	Gibson Robin
Monogrammist IS	Monogrammist I.S. (active 1632-1658)
Vigne Edouard de	Devigne
Beaurain Philippe-Joseph	Philipp Sauerland
Glueckselig Friedrich	Bergammer Friedrich
verbruggen	Verbrugghen Henricus-Franciscus
Venice. Galleria di Architettura della Fondazione A. Masieri	Galleria Masieri
Bola F. (unidentified)	F. Bola
Trent William Edward	Trent W. E.
Jacob Heusch	J. de Heus
Carpanetti Arnaldo	Carola Dertnig
Saintpierre Gaston Casimir	Saint Pierre
Ubaldini Domenico	Domenico di Bartolommeo
David I roi d'Ecosse	David I King of Scotland
John N. Holden	John Grüniger
Grüniger John	John Collet
Ampurias Master	Master of Castelló d'Empúries
Brisschauw	Brasjauw Melsen
Stanley 1st Lord Stanley Of Alderley	John Thomas Stanley
Valke	Johannes von Valkenburg
Leven A. (unidentified)	A. Leven
Brunet J. (unidentified)	Brunet Jean Jacques Baptiste
Janssens (Gent)	Janssens
Reusch (Amsterdam)	Reusch
Scanes Mrs. Maude	Maude Goodman
Jensen I.L.	Jensen Johan Laurits
De Vuet	Arnold de Vues
Osler Viktor Emanuel	osler
Peter Haag	Haag Peter (unidentified)
Arnold Reinthaler	François Peintre à Bruxelles
Offiener	Allemand Offienier
Chinzei	anonymous Chinzei
Petrie William Joseph	Petrie Bill
Domenico Mioni	Domenico di Candido da Tolmezzo
Komatsu/Rangel	Komatsu Architecture
Kunstcentrum de Singel	Singel
Wolkonsky Maria Princess	Volkonskai︠a︡ Marii︠a︡ Nikolaevna kni︠a︡gini︠a︡
Dub...	Dub (unidentified)
Mijn Gerard van der	Daniel Van Beke
Mackey (Dublin)	Macky
Kruse Alexander Zerdini	Kruse
Alexander Zerdin Kruse	Kruse
Geneviève Delaunay	Abbé-Decarroux Geneviève Delaunay-‏
Le Brun	Lebrun d'Anvers
Jan van Ruysbroeck	van den Berghe Jan
Gerrit Alberts	Servaes Albert
Hausmann Elias Gottlob	Charles Gottleib Lang
Robinson George Thomas	Thomas Keene
Gilly de Montaut Wilhelm	Gilly Wilhelm
S. Vogelaer	Vogelaer S. (unidentified)
Ruggeri Ferdinando	Ruggieri
Griswold David J.	Hurn David
H. Kock	Kock H. (unidentified)
Norman I Wilkinson	Wilkinson
Camarón y Navarro María de la Asunción Elena	Elena Camarón
Innocenz Tacconi Schüler von Carraccio	Tacconi
Mariano da Radicofani	Mariano De'Vecchi
Khatir Reza	Reza
anonymous Tonocoté	Tonocoté
Fuenes Gabriel	Garcia Fernandes
Nuvolone Giuseppe Panfilo	Panfilo Il
Kristina Ford	Ord William
Architectenbureau ZZ&P	ZZ&P
Bonhams	Bonham's Auction House
P. Venodar	Venodar P. (unidentified)
Poppi	Poppi fiorentino
James Hadley	Charles Servais
Tischbein family	Thisbeyn
Borcht Peter van der II	Verborcht Pierre
Innocent Charles John	Charlotte Lancelot
Nicolaï Jacques	Jacquinot
de Langh	delachaux l.
Neuhaus	Fritz Neuhaus
Neuhaus Karl August Friedrich	Neuhaus
Gilarte Francisco	Gilarte Matheo
Wolf	Wolf F.
Edith Ellenborough	Edith Corbet
Marchart Alexander	Alex Sweetman
Gemarius de Kepper Peter	St. Germain Jean-Joseph de
Albeslo Bernard Willem	Gale William
Albeslo B.W.	W. Gale
Reinhoud	Reinhoud D'Haese
van Hage (unidentified)	Van Hage
Richard Burden	Brams Richard
Morone Giambattista	Moroni
Feindt (Hamburg)	Feind
Hammershoi Ida	Ida Ilsted
Buck William	William Raeuber
Schompt (unidentified)	Schompt Hollandois
Giulio Todeschini	Motta Giulio
Frans Claessens	Clausen Franciska
Torretta Giovanni	Tortona Antonio
Kibrik Evgenij Adol'fovič	Yevgeny Kibrik
Fitch Captain	Fitch Simon
Lawrenson	Lawranson (unidentified)
Lopez Vicente (unidentified)	Lopez Vicente y Portana
la roche noire	Charles Julien de La Rochenoire
Eisen Anton Paul	Antonenko Evgeny
Gibbs Henry Hucks 1st Baron Aldenham	Gibbs Henry II
Kopps	Kops Jean-Baptiste Charles
La Joue Jacques de	La Joue
Clarence Sumner Luce	Sumner Maud Frances Eyston
Norice	Norris (unidentified)
Lemieux	Ludger et Paul-M. Lemieux
ICOMOS France	Section française de l'ICOMOS
Guillaume de Kempeneere	Kempenaer Willem I
Urania Free Learning Institute	Freies Bildungsinstitut
Marie-Claire Waille	La Rochefoucauld Marie-Christine
Pietro Marubi	Peter Hav
Ferdinando (unidentified)	Ferdinando pittore del Re di Polonia
Fox (Dublin)	Fox
Pine John	Donald John
F*** J. (unidentified)	J.F***
Chermaev Serge	Chevska Maria
anonymous Páez	Páez
Gooch (Mount St.)	Gooch
Millais Lady	Lady Euphemia Chalmers Gray Millais
laurent	Jean Antoine Laurent The Elder
Hannah Brown Skeele	Skeele Harriet B.
Rowhn P. (unidentified)	P. Rowhn
Adler Friedrich	Frédéric Dedelley
unknown Scottish	anonymous Scottish
Georg Arnold	Bendl Johann Georg
Peretti	Perotti Pietro Antonio
Sr H Mann	Horace Mann 2nd Baronet
van Vucht	Vucht
Arniches Carlos	Jan Arons
Soucaret Dhainaut Mme. M.	mme soucaret
Town	Town Francis
Gericke Samuel Theodor	Geraci Paolo
Roerbye Wedseltoft	Rørbye Martinus Christian Wedelstoft
Guggenbichler Meinrad	French Leonard
Abraham Ragueneau	Ragueneau
Wallace Gallery	Wallace Gallery of Decorative Arts
Page	John Page
Steuart Charles	Stuart Charles (active 1762-1790)
Alfred Diethe	Diethe
Rutter	Carl Ruthards
Grünwald Alfred (1891-1927)	Gruenwald Alfred Emanuel Ferdinand
Robert Macdonald Fraser	Robert Arthur
Howard Wilh. Rudolf Hermann	Howard Will
Monogrammist P.V.S.	P.V.S.
Drost	Anthonie Drost
Jordan Judah	Yordan Yehudah
Vandrebanc John	Banck Jan van der
Cowherd Barney	Cowherd Elwood Martin
Blakey Nicholas	Baker Charlotte
S. Loren	Loren S. (unidentified)
Mariano Vasi	Stig Martine
Martine Stig	Mary Smart
Caiserman Ghitta	Chase Sara
B. Engels	Engelsen Bartholomeus
Louis Dubois	Dubois Ludovicus Joannes Baptista
Plaas	Plas Van Der
Van Der Plas	Plaas
Jorge Vall	Dort Willem van
Reza	Riza Abbasi
Klimt Gustave	Klimt
Parkstraatkerk (Hague Netherlands)	Heilige Jacobus de Meerdere (Church : Hague Netherlands)
nigg	josef nigg
Nigg Joseph	nigg
Kunst- und Auktionshaus Gindele	Gindele
M. Jean Soul	Soul Jean (unidentified)
A. Limburg	Limburg A. (unidentified)
Wouter Schram	Schram Wouter Jorinus Bernardus Anthonius
unknown Swat	anonymous Swat
Ed Emsh	Emsler
Keuin Hendrik	Kuhn
Jiroudek František	Rivet Francesco
Ramírez Cristóbal	Christina Fernandez
Morlon Antoine	Morlon
Donato called Donatello	Betto Bardi Donato di Niccolò di
Souza Osmar Pinheiro de Jr.	De Perlinghi Jerôme
Seve Pierre	Pierre de Sève le Jeune
Robert Glaus	Moore Gilbert
Gianni Gamberini	Maria Gioia Tavoni
unknown Gilbertine	anonymous Gilbertine
Honich Adriaen	Honich Lossenbruy
Planungsgruppe HASS Freiraum und Landschaft	HASS
Roberto Parysow	Robertson John Ewart
van Nes	Kanō Heishirō
Zoon	Scholtens & Zoon
William Brown (Firm)	Brown (Firm : Edinburgh Scotland)
Francesco da Volterra	Capriani Francesco
Hisashi Tenmyouya	Tenmyouya Tenmyōya
Ladovskiĭ N.	Ladovsky Nikolay Aleksandrovich
Mizer Bob	Mizer Robert Henry
Andrew Walter	André Hebuterne
Jean Laurent Legeay	Le Geay Architecte
Marcy Rosenblat	Rosenblum Richard
Madrazo Fréderic Carlos	Madrazo y Ochoa Federico de
Whalley Andrew	Nash Andrew
Wyon Thomas	Wyon Thomas the elder
Yaqub Sanu	Ṣannūʻ Yaʻqūb ibn Rāfāʼīl
Pascoe Martin	Peredes Mario
Henrique Pousão	Henriques Cesar De Araujo Pousao
Gustav Wilda	Wilda Gottfried Heinrich
Baron Leighton	Lord Leighton Frederic Leighton
Hacker	Hacker (Frankfurt)
Gillian Barlow	William Raddon
La Rue	M. de la Rue
Niedmann August Heinrich	Augustin Handzel
Turner William II	william herbert Dunton
Tsjaikov Josef	Iosif Chaykov
Oliver Kruse	John Oliver
Daniel Martinez	Verstappen Martin
Steele T. C.	Theodore Clement Steele
Achille De Dominicis	Depey Johann De
Angrand Charles Théophile	Charles James Adams
Mallais	Mallet Jean-Baptiste
Boston Painter	Pittore di Boston 397
Claire Spicer	Vasile Cercel
Johann Hinrich Quinckhard	Quinckhardt
Ricci Francisco	De Guevara Francisco Rizi
Michal Hefer	Michael Bornschlegel
Agus	Agasse Jacques Laurent
Muskett	Muskett (Norwich)
Peerdt Ernst Carl Friedrich De	e. de. peerdt
Lotte Errell	Sostmann Lotte
N. Rombaut	N. Rombaut d'Alcmar (unidentified)
Charles Voillemot	Voillement
Williamson (Dublin)	Williamson
Posenaer Jos	Jozef Karel Frans Posenaer
David Ryackaer	Rykars
Wilhelm von Beyer	Beyer Christoph Friedrich Wilhelm
Wellesley Sir Victor Alexander Augustus Henry	Victor Wellesley
Stefan Maria Heizinger	Egan Moira
Chevalier Pauline	Caroline Louise Martin
Simon Maria	Wasserman Simon
Core Philip	Lasser Phillipe
b. ives	Brayton C. Ives
B. Yves	Brayton C. Ives
Molani	Aureliano Milani Bolognese
Flaviens C. Chusseau	C. Healey
Miel Francis	Vernay Miel
Sedefkâr	Sedefkar Mehmed Agha Biçakçiu
L. K.	Deutscher Monogrammist L. K.
Mann	Jan de Mann
Peter Rysbraeck	Risbrach
Pandolfo Reschi	Monsù Pandolfo
Godebska Misia	Natanson Misia
S. Kuyp	Cuyp S. (unidentified)
unknown Gurunsi	anonymous Gurunsi
Fisher	Messrs. Wells and Fisher
Burrard Harry Sir	Harry 1st Baronet Burrard
Cavendish-Bentick William Henry	Bentinck William Henry Cavendish Cavendish- third duke of Portland
P.F. Storgue.	Storck P.F. (unidentified)
Johann de Hemsen	Hernesen
schneider	Schneider Johann Kaspar
Ted Shawn	Shawn Edwin Myers
Pieter Mulier d.J. Genannt Tempesta	Pietro Tempesta
Wm. Atkinson	[William Atkinson]
T.J. Blakeslee 358 fifth ave.	t.J. blakeslee
Blakeslee T.J.	T.J. Blakeslee 358 fifth ave.
Gherardo Mechini	Gerard
Technische Hochschule Wien	Polytechnisches Institut
Monogrammist O.M.E.	O.M.E.
Charles White	Guidetti Carlo
Frederick I	Friedrich I Barbarossa imperatore del Sacro romano impero
Nicholson Dana	Dana Lixenberg
U.K. Architects Against Apartheid	U.K.A.A.A.
Morel Vaarzon Morel	Vaarzon Morel Willem F. A. I.
Tucker Albert Lee	Tucker
Jean de Carondelet	Aragon Juan de
ESB International Building Consultancy Group	ESB
Schwartz	Fishel Adler & Schwartz Gallery
Prieur Mathieu	Hubert Pierre Alain
Carl Heinrich (I) Hoff	professor carl hoff
Birgit Antoni	Charlton Annie
Aivazovsky	Ajvazovskij Ivan Kostantinovic
Nicola Moietta	Moietta da Caravaggio Nicola
Jacobson Arthur	Arhiv Tošo Dabac
Czartoryska Maria Zofia księżna	Denhofowa Marja Zofja
Diebitsch Charles de	Diebitsch Carl Wilhelm Valentin von
Yon	Edmond Charles Yon
Berry Judith	Beyer Gerd
Falcao Trigoso	Falcão Trigoso João Maria de Jesus de Mello
Grimshaw Architects	Grimshaw
Pietersz Aert	Pierre Cardin
Passij	Passy Joannes Baptista
Thos Agnew & Sons London	Thomas Agnew
Volcker Otto Hermann Emil	Otto Volcker
Aligny Claude-Félix-Théodore Caruelle d'	Aligny
Fabrique	Fabrique atelier d'architecture
Ake J. David	Davis Kelly A.
Hans Seiler	Sharon Shein
Evart Charles Joseph Frederick	Laurence Frederick Sturgis
Scheib	Scheib Christian Friedrich
César Pattein	Martin (Paris)
Kane Robert	Kane Bob
Antonini Andrea	Douglas Andrew
Csáky Joseph	Csaky Jozsef Alexandre
Harvey	Harvey George II
Voort van der	Eugene van Verboeckhoven
franz anton winter	Eigentler Franz
Luna	Luna family
Ding Nanyu	zi Nanyu
benjamin herring	herring
Maler	Maler Hans
Andrea Carlson	Gabriel Salmon
David Bowie	Jones Davy
Robert Grange	Ganter Bernard
Cambi casa d'aste	Cambi (Firm)
Marco Sanmartin	Marcello Pietrantoni
Schommer	Schommer François
Schimt	Jean Joseph Schmit
Lüdeck	Ludeck Lodewijk van
Muzej savremene umetnosti (Skopje North Macedonia)	Museum of Contemporary Art Skopje
Yriarte Ignacio	Iriarte
De Iriarte Ignacio	Iriarte
Charles Édouard Haviland	Hibbard Charles P.
Jan H. B. Koekkoek	Koekkoek Johannes Hermananus Berend
Vasari Lazzaro ca. 1399-1468	Lazzaro Vasari
Batyo (unidentified)	Batso
Martí Ramon	Jrma Bamert
Carlos Oyarzún	Dan Clowes
Fraxinetus Alfonso [Unidentifed]	Fraxinetus A.
Klah-tso	Hosteen Klah
Schmidt C. C. Alexander	Schmidt Alexander (1842-1903)
Gensfleisch zur Laden Johann	Gutenberg Johannes
Melchers	Melchers Julius Gari
Garrett Smith	Hanna Gartner
Adamo Claudio	Alisa Braudo
Mattens Jan	Jantl Anton
Denison J.M.	Mellot Denise
Biedermann Josef	Dan Beudean
Croos W. (unidentified)	W. Kroos
Josef Eberl	Joseph Heard
Brooklyn Museum The	the brooklyn institute of art & science
Ja`far ibn `Alī al-Tabrīzī al-Baysunghurī	Baysunghuri Ja'far
Bob Davis	Davis Robert James
Donald Blair	Clayton Donald Francis
Austin Harrelson	Eldar Sharon
Duward Salomon	Duarte Salomon active 17th century
Fitzgerald (Dublin)	Fitzgerald
Assteyn Bartholomeus Abrahamsz.	Van Assten
Hieronimo Genga	Genga disciple de Raphael
Gill	Gill (Dublin)
Huebner Birgit	Albert Hoflinger
Passemirs	Benoît Joseph Passeniers
Leen	Leen G. van (Guillaume)
Graf von Haack	Haack
David Magee (Firm)	David Magee Antiquarian Books
Rizi Juan	Fray Juan Andres Ricci
Elekfy Jenő	Kirchner Jenő
Giuseppe Giacomo	Giacomo Ferrari
Graft	Graft Design
H.J. Moore	Moore H.J. (unidentified)
Schäfer Karl (1821-1902)	Schäffer Carl
Soldiny	Soldini Luigi Domenico
Klauber family	Klauber
Besschaert	Ambrosius Boschart
professor a. kindler	albrecht kindler
Kindler Albert	professor a. kindler
Glycerius Emperor of Rome	Glycerius
Welser	Welser family
Luks	George Luks
Courtray	Corneille De Courtrai
Pictorius	Pictorius Johann Martin
Gutai Group	Gutai Art Association
Marasco	Antonio Marasco
Thessaloniki Cultural Centre of the Cultural Foundation of NBG	Politistiko Kentro Thessalonikēs
Harkins M. (unidentified)	M. Harkins
Carl F. Schlüter Kunst- und Auktionshaus	Schlüter Carl F.
Arkitektgruppen DIVA	DIVA
Tiberghien Petrus Franciscus	Tiberghien
Johannes Baader	Baader Alexis
Nuti Mario	Massimo Molteni
